A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15
1,44.0,110.0,2,9,4,42.0,1,0,1.0,0,1,38.0,1.0,1
1,79.0,87.0,2,8,5,7.0,1,0,1.0,1,2,53.0,1.0,1
1,207.0,15.0,1,9,4,8.0,0,0,1.0,1,2,104.0,3.0,0
0,256.0,52.0,1,8,4,1.0,0,0,1.0,1,2,49.0,2.0,0
1,83.0,29.0,2,3,8,3.0,0,0,1.0,1,2,77.0,6.0,0
0,205.0,33.0,2,8,4,47.0,1,1,12.0,0,2,1.0,111.0,1
1,236.0,102.0,2,1,1,1.0,0,1,3.0,0,2,2.0,2.0,0
0,32.0,93.0,1,8,8,65.0,1,0,1.0,0,2,86.0,1.0,1
1,120.0,21.0,2,6,4,12.0,1,0,1.0,1,2,69.0,1.0,0
1,174.0,73.0,2,2,4,5.0,0,0,1.0,1,2,38.0,1.0,0
1,37.0,46.0,1,13,4,47.0,1,0,1.0,1,2,32.0,21.0,0
0,71.0,162.0,2,11,4,11.0,1,1,6.0,1,2,1.0,120.0,1
1,238.0,118.0,2,11,4,2.0,1,1,2.0,0,2,69.0,94.0,1
1,72.0,6.0,2,8,3,52.0,0,0,1.0,1,1,1.0,1.0,1
0,81.0,27.0,1,11,4,37.0,1,1,3.0,1,2,24.0,109.0,1
0,147.0,107.0,2,10,2,52.0,1,1,6.0,1,2,31.0,115.0,1
0,241.0,128.0,1,11,8,108.0,1,1,15.0,0,2,1.0,192.0,1
0,214.0,105.0,2,10,4,85.0,1,0,1.0,1,2,1.0,206.0,1
1,158.0,57.0,2,8,4,3.0,0,0,1.0,0,2,102.0,1.0,0
0,97.0,72.0,2,14,8,24.0,1,0,1.0,0,2,117.0,1.0,1
1,122.0,180.0,2,6,5,7.0,0,0,1.0,1,2,165.0,1.0,0
1,163.0,87.0,2,14,4,85.0,1,1,4.0,1,2,100.0,190.0,1
1,189.0,119.0,2,6,4,4.0,1,0,1.0,1,2,142.0,1.0,0
1,65.0,63.0,2,4,4,20.0,0,0,1.0,0,2,63.0,1.0,0
1,159.0,75.0,2,8,4,58.0,0,1,3.0,1,2,53.0,33.0,0
1,163.0,17.0,2,8,5,23.0,1,0,1.0,1,1,107.0,1.0,0
1,6.0,76.0,2,9,4,3.0,0,1,2.0,0,2,1.0,7.0,0
1,120.0,50.0,2,13,8,87.0,1,1,10.0,0,2,130.0,142.0,1
1,97.0,73.0,2,8,4,31.0,0,1,2.0,0,2,1.0,23.0,0
1,342.0,109.0,2,10,9,121.0,1,1,2.0,1,2,1.0,1.0,1
0,32.0,144.0,2,9,4,40.0,1,1,7.0,1,2,11.0,125.0,1
0,120.0,11.0,2,7,8,4.0,0,1,2.0,1,2,95.0,52.0,0
0,39.0,22.0,1,8,4,26.0,0,1,2.0,0,2,171.0,3.0,0
1,156.0,48.0,2,2,4,16.0,0,0,1.0,1,1,1.0,1.0,0
0,297.0,29.0,2,6,4,14.0,0,0,1.0,1,2,86.0,56.0,0
1,159.0,46.0,1,9,4,2.0,0,0,1.0,0,1,53.0,1.0,0
1,301.0,196.0,2,8,4,110.0,1,1,10.0,0,2,1.0,1.0,1
0,212.0,11.0,2,1,1,1.0,0,1,11.0,0,2,69.0,19.0,0
1,184.0,70.0,2,7,4,78.0,1,1,7.0,0,2,71.0,1.0,1
0,51.0,73.0,2,6,4,2.0,1,0,1.0,0,2,32.0,1.0,1
1,207.0,202.0,2,9,4,3.0,0,0,1.0,0,2,107.0,205.0,0
1,298.0,20.0,2,1,1,1.0,0,0,1.0,0,2,48.0,1.0,0
0,83.0,28.0,2,11,4,11.0,0,1,2.0,1,2,69.0,12.0,0
1,200.0,95.0,2,14,8,95.0,0,0,1.0,1,1,164.0,1.0,1
0,328.0,207.0,2,3,5,115.0,1,1,14.0,0,2,1.0,222.0,1
1,130.0,30.0,2,7,4,25.0,1,1,4.0,1,2,129.0,1.0,1
1,163.0,21.0,2,4,4,7.0,0,0,1.0,0,2,124.0,181.0,0
0,166.0,73.0,1,5,3,1.0,0,0,1.0,0,2,53.0,21.0,0
1,37.0,119.0,2,9,8,36.0,1,1,8.0,0,2,24.0,199.0,1
1,230.0,115.0,2,7,4,32.0,1,1,6.0,1,2,34.0,155.0,1
1,13.0,79.0,2,3,4,9.0,0,0,1.0,1,2,45.0,3.0,0
1,268.0,123.0,1,8,4,40.0,0,0,1.0,0,2,53.0,3.0,0
1,9.0,1.0,1,6,4,7.0,0,0,1.0,0,2,18.0,1.0,0
0,246.0,119.0,2,11,4,14.0,1,1,4.0,1,2,48.0,1.0,1
1,137.0,196.0,2,8,8,91.0,1,1,12.0,0,2,1.0,191.0,1
0,109.0,55.0,2,5,3,1.0,0,0,1.0,1,2,97.0,2.0,0
1,225.0,80.0,2,9,4,76.0,1,1,15.0,0,2,126.0,168.0,1
1,97.0,115.0,2,8,4,26.0,1,1,4.0,0,2,1.0,1.0,1
0,129.0,13.0,2,11,4,16.0,1,1,5.0,0,2,24.0,1.0,1
1,347.0,201.0,2,1,1,1.0,1,0,1.0,1,2,1.0,1.0,1
1,70.0,169.0,1,7,4,37.0,0,0,1.0,1,2,1.0,206.0,0
0,119.0,40.0,2,1,1,1.0,0,1,2.0,0,2,27.0,94.0,0
0,35.0,137.0,2,13,8,20.0,1,1,8.0,0,2,30.0,1.0,1
0,102.0,1.0,2,8,4,1.0,0,0,1.0,0,3,65.0,1.0,1
1,163.0,2.0,1,2,4,78.0,0,0,1.0,1,2,146.0,1.0,0
0,70.0,136.0,2,11,4,43.0,1,1,11.0,0,2,24.0,149.0,0
0,75.0,40.0,2,11,4,7.0,0,0,1.0,1,2,38.0,140.0,0
1,79.0,182.0,2,8,4,4.0,0,1,3.0,0,2,1.0,217.0,0
0,141.0,36.0,1,14,4,26.0,0,0,1.0,0,2,98.0,14.0,0
0,169.0,115.0,2,2,4,31.0,0,0,1.0,0,2,95.0,1.0,0
1,118.0,46.0,1,9,4,10.0,1,0,1.0,1,2,92.0,154.0,1
1,36.0,163.0,2,8,5,16.0,0,1,3.0,1,2,69.0,8.0,0
1,204.0,64.0,2,9,4,4.0,0,1,3.0,0,2,77.0,2.0,0
1,32.0,1.0,2,11,4,18.0,0,0,1.0,0,2,53.0,2.0,0
0,136.0,85.0,2,8,4,28.0,1,1,2.0,1,2,121.0,1.0,1
1,192.0,92.0,2,3,5,71.0,1,1,3.0,0,2,96.0,126.0,1
0,182.0,73.0,1,6,4,47.0,0,0,1.0,0,2,63.0,1.0,0
1,310.0,147.0,2,10,4,112.0,1,1,6.0,0,2,1.0,1.0,1
1,98.0,33.0,2,6,4,14.0,0,0,1.0,0,2,69.0,1.0,0
1,174.0,59.0,1,4,1,1.0,0,0,1.0,0,2,38.0,1.0,0
0,53.0,102.0,1,1,1,1.0,0,0,1.0,0,2,1.0,1.0,0
0,319.0,198.0,2,5,1,1.0,1,1,16.0,0,2,1.0,87.0,1
1,172.0,6.0,1,8,8,71.0,1,1,2.0,1,2,139.0,225.0,1
0,48.0,174.0,2,8,8,96.0,1,0,1.0,0,2,111.0,1.0,1
0,150.0,109.0,2,4,4,93.0,0,0,1.0,1,1,32.0,1.0,0
0,91.0,23.0,2,6,8,43.0,1,0,1.0,0,2,131.0,1.0,0
1,78.0,166.0,2,14,8,13.0,1,1,2.0,0,2,32.0,1.0,1
0,163.0,167.0,2,1,1,1.0,0,0,1.0,0,2,65.0,215.0,0
0,173.0,18.0,2,13,4,2.0,1,0,1.0,0,2,141.0,230.0,1
1,85.0,46.0,2,2,8,45.0,1,1,7.0,0,2,69.0,98.0,1
1,214.0,5.0,1,8,4,37.0,0,0,1.0,1,2,84.0,55.0,1
1,145.0,40.0,1,4,4,7.0,0,0,1.0,0,2,79.0,1.0,0
0,86.0,17.0,2,11,8,31.0,1,1,2.0,0,2,1.0,128.0,1
1,54.0,10.0,1,8,8,7.0,0,0,1.0,0,2,98.0,78.0,0
1,162.0,197.0,2,8,4,14.0,1,0,1.0,0,2,38.0,1.0,0
1,74.0,73.0,2,7,4,32.0,1,1,2.0,0,2,92.0,139.0,1
1,218.0,52.0,1,8,5,7.0,1,0,1.0,1,2,55.0,109.0,0
0,93.0,95.0,2,9,4,26.0,0,0,1.0,1,2,117.0,7.0,0
1,209.0,86.0,2,9,4,29.0,1,0,1.0,1,2,69.0,1.0,0
0,278.0,26.0,2,11,8,63.0,1,1,2.0,0,2,110.0,145.0,1
1,170.0,87.0,1,13,4,37.0,0,0,1.0,1,2,38.0,1.0,0
0,154.0,161.0,2,11,8,3.0,0,1,13.0,1,2,41.0,4.0,0
1,126.0,47.0,2,9,4,74.0,1,1,6.0,1,2,32.0,4.0,1
1,314.0,197.0,2,10,9,1.0,1,1,20.0,0,2,50.0,60.0,0
1,7.0,26.0,2,8,4,43.0,1,1,6.0,1,2,115.0,130.0,1
1,91.0,180.0,2,9,4,24.0,1,0,1.0,1,2,92.0,1.0,0
1,175.0,109.0,2,11,8,93.0,1,1,13.0,1,2,132.0,150.0,1
1,149.0,17.0,2,8,4,43.0,1,1,12.0,0,2,10.0,118.0,1
1,67.0,16.0,2,4,4,4.0,0,0,1.0,1,2,98.0,38.0,0
1,251.0,32.0,2,14,4,58.0,1,0,1.0,0,2,153.0,125.0,1
1,213.0,55.0,2,3,4,7.0,0,0,1.0,1,2,78.0,1.0,0
1,105.0,184.0,2,13,4,14.0,0,0,1.0,0,2,1.0,3.0,0
1,146.0,54.0,2,8,8,80.0,1,0,1.0,0,2,92.0,77.0,1
1,43.0,10.0,2,11,4,4.0,0,0,1.0,0,2,69.0,1.0,0
1,40.0,13.0,2,11,4,47.0,1,1,3.0,1,2,24.0,1.0,1
1,300.0,2.0,2,14,8,2.0,1,0,1.0,0,2,1.0,200.0,1
1,337.0,123.0,2,10,9,1.0,0,0,1.0,0,2,1.0,13.0,0
1,242.0,79.0,2,7,4,73.0,0,0,1.0,1,1,131.0,1.0,0
0,10.0,9.0,2,6,4,4.0,0,0,1.0,0,2,69.0,2.0,0
1,141.0,19.0,2,9,4,8.0,0,1,2.0,0,2,111.0,198.0,0
1,188.0,95.0,2,6,4,26.0,1,0,1.0,1,2,86.0,1.0,0
0,346.0,1.0,2,8,4,1.0,0,0,1.0,0,3,65.0,1.0,1
1,253.0,8.0,2,3,8,88.0,1,0,1.0,0,2,131.0,1.0,1
0,70.0,164.0,1,11,4,65.0,1,0,1.0,1,2,94.0,1.0,0
1,89.0,55.0,2,10,2,5.0,0,1,3.0,0,2,107.0,166.0,0
1,267.0,17.0,2,3,8,85.0,1,0,1.0,1,2,107.0,1.0,1
0,76.0,173.0,2,14,8,14.0,1,1,3.0,1,2,102.0,119.0,1
1,192.0,42.0,2,3,5,4.0,0,0,1.0,1,2,141.0,210.0,0
1,77.0,169.0,2,3,4,73.0,1,1,10.0,0,2,17.0,134.0,1
1,106.0,30.0,2,4,4,10.0,0,1,3.0,1,2,60.0,4.0,0
0,18.0,139.0,2,6,4,34.0,1,0,1.0,1,2,1.0,1.0,1
1,47.0,36.0,2,11,4,37.0,0,0,1.0,0,2,34.0,8.0,0
1,165.0,199.0,2,2,4,65.0,1,1,10.0,0,2,87.0,133.0,1
0,325.0,55.0,2,1,1,99.0,0,1,2.0,0,2,1.0,11.0,0
1,332.0,47.0,2,11,4,4.0,1,0,1.0,1,2,92.0,1.0,1
0,340.0,192.0,2,1,1,1.0,1,1,12.0,1,2,1.0,171.0,1
1,148.0,34.0,1,3,5,14.0,1,1,11.0,1,2,43.0,27.0,0
1,289.0,119.0,2,11,8,96.0,1,0,1.0,1,2,114.0,1.0,1
0,83.0,169.0,1,4,8,65.0,0,0,1.0,1,2,3.0,17.0,0
1,44.0,141.0,2,8,4,41.0,1,1,4.0,1,2,11.0,27.0,1
1,285.0,130.0,2,9,8,127.0,1,1,13.0,0,2,1.0,138.0,1
1,79.0,46.0,2,11,4,55.0,1,1,4.0,1,2,1.0,122.0,1
1,172.0,192.0,1,1,1,1.0,0,1,3.0,0,2,53.0,2.0,0
1,184.0,12.0,1,13,4,3.0,0,0,1.0,0,2,63.0,1.0,0
1,83.0,16.0,1,9,4,61.0,1,1,7.0,1,2,72.0,100.0,0
1,12.0,12.0,1,4,4,8.0,0,0,1.0,0,1,69.0,1.0,0
0,51.0,136.0,2,8,4,5.0,0,0,1.0,0,2,1.0,102.0,0
0,334.0,200.0,2,11,4,117.0,1,0,1.0,1,2,4.0,229.0,1
1,163.0,102.0,1,6,4,110.0,1,0,1.0,0,2,1.0,1.0,0
0,95.0,178.0,2,13,8,73.0,1,1,7.0,0,2,131.0,112.0,1
1,58.0,148.0,2,8,4,7.0,1,0,1.0,0,2,45.0,1.0,0
1,47.0,1.0,2,8,4,1.0,0,0,1.0,0,3,65.0,1.0,0
0,98.0,187.0,1,1,1,47.0,0,1,2.0,1,2,69.0,2.0,0
1,259.0,97.0,2,11,4,82.0,1,0,1.0,0,1,1.0,1.0,1
1,114.0,52.0,1,8,4,26.0,1,1,6.0,1,2,53.0,218.0,1
1,326.0,124.0,2,7,4,124.0,1,1,7.0,1,2,117.0,167.0,1
1,316.0,169.0,2,1,1,85.0,1,1,6.0,0,2,1.0,226.0,1
1,299.0,151.0,2,3,5,1.0,1,1,12.0,0,2,1.0,163.0,1
1,237.0,17.0,2,7,4,7.0,1,0,1.0,0,1,99.0,1.0,0
1,123.0,56.0,1,6,4,47.0,1,1,4.0,1,2,120.0,120.0,1
1,149.0,119.0,2,13,4,68.0,1,1,9.0,0,2,109.0,158.0,1
1,302.0,56.0,1,1,1,37.0,0,0,1.0,0,2,38.0,2.0,0
0,95.0,164.0,1,6,4,81.0,1,0,1.0,0,2,38.0,1.0,0
1,143.0,26.0,1,8,4,2.0,0,0,1.0,0,2,86.0,1.0,0
0,185.0,13.0,2,13,4,10.0,0,0,1.0,0,2,102.0,35.0,1
1,104.0,26.0,2,8,5,7.0,1,0,1.0,0,2,113.0,24.0,1
0,135.0,34.0,2,8,4,58.0,1,1,6.0,1,2,102.0,172.0,1
0,23.0,13.0,3,13,1,115.0,0,0,1.0,1,1,102.0,1.0,1
1,47.0,123.0,2,8,4,40.0,1,1,4.0,0,2,69.0,170.0,1
1,17.0,209.0,3,1,7,1.0,0,0,1.0,1,3,143.0,240.0,1
1,23.0,122.0,1,7,4,2.0,0,0,1.0,0,2,45.0,1.0,0
1,281.0,66.0,2,7,5,58.0,1,1,13.0,1,2,133.0,195.0,1
1,324.0,136.0,2,10,8,101.0,1,1,4.0,0,2,1.0,1.0,1
1,1.0,87.0,1,9,4,43.0,1,1,3.0,1,2,38.0,150.0,1
1,36.0,144.0,2,11,4,26.0,1,0,1.0,1,2,18.0,109.0,1
0,63.0,172.0,2,4,8,3.0,0,0,1.0,0,2,107.0,6.0,0
1,18.0,151.0,2,9,8,5.0,0,1,2.0,0,2,38.0,2.0,0
1,197.0,66.0,1,9,4,65.0,0,0,1.0,0,1,69.0,1.0,0
1,138.0,82.0,2,9,4,73.0,1,1,4.0,1,2,108.0,1.0,0
1,57.0,26.0,1,12,7,20.0,0,0,1.0,1,2,43.0,3.0,0
1,24.0,156.0,2,8,8,28.0,0,0,1.0,0,2,107.0,14.0,0
1,127.0,73.0,2,9,4,20.0,0,0,1.0,1,2,102.0,42.0,0
0,272.0,160.0,2,11,4,85.0,1,1,8.0,1,2,1.0,1.0,1
1,73.0,169.0,2,3,4,11.0,0,0,1.0,0,2,1.0,1.0,0
0,163.0,82.0,2,2,4,65.0,1,0,1.0,1,2,102.0,1.0,0
0,47.0,127.0,2,4,4,37.0,1,1,2.0,0,2,53.0,83.0,1
0,55.0,63.0,2,3,5,14.0,1,1,5.0,0,1,24.0,1.0,1
1,114.0,92.0,2,13,4,79.0,1,1,2.0,1,2,38.0,1.0,1
0,121.0,50.0,2,1,1,1.0,0,0,1.0,0,2,111.0,2.0,0
1,254.0,34.0,2,9,4,85.0,1,1,7.0,1,2,152.0,228.0,1
0,25.0,151.0,2,9,4,26.0,0,1,2.0,0,2,38.0,2.0,0
0,133.0,33.0,2,11,4,26.0,1,1,3.0,1,2,56.0,115.0,0
0,58.0,115.0,2,6,4,58.0,1,1,4.0,0,2,24.0,146.0,1
1,62.0,164.0,2,14,4,8.0,1,1,7.0,0,2,39.0,1.0,1
1,63.0,17.0,2,8,4,4.0,0,0,1.0,0,2,117.0,1.0,0
1,175.0,139.0,1,9,8,90.0,1,0,1.0,1,2,51.0,1.0,1
0,271.0,33.0,2,11,4,4.0,0,0,1.0,1,2,93.0,1.0,0
0,83.0,20.0,1,1,1,4.0,0,0,1.0,0,2,38.0,46.0,0
0,21.0,18.0,2,8,4,43.0,0,1,2.0,1,2,24.0,6.0,0
1,179.0,66.0,1,9,4,101.0,0,0,1.0,1,2,98.0,1.0,0
0,72.0,12.0,2,11,4,20.0,0,0,1.0,0,1,53.0,1.0,0
1,195.0,35.0,2,7,4,29.0,0,0,1.0,0,1,7.0,1.0,0
1,143.0,44.0,2,9,8,20.0,1,1,2.0,0,2,86.0,50.0,1
1,167.0,66.0,2,6,4,104.0,1,0,1.0,1,2,157.0,1.0,0
0,49.0,54.0,2,11,4,49.0,1,1,6.0,0,2,77.0,194.0,1
1,186.0,70.0,2,3,5,1.0,0,0,1.0,0,2,63.0,1.0,0
1,65.0,28.0,2,8,8,51.0,0,0,1.0,1,2,40.0,1.0,1
0,202.0,175.0,2,11,8,124.0,1,1,9.0,0,2,1.0,221.0,1
1,168.0,94.0,2,13,8,97.0,1,1,4.0,0,2,105.0,94.0,1
0,72.0,27.0,2,3,4,3.0,0,0,1.0,0,2,47.0,1.0,0
1,114.0,194.0,2,3,5,1.0,0,0,1.0,1,2,62.0,1.0,0
1,264.0,55.0,2,7,4,43.0,1,1,3.0,1,2,1.0,16.0,1
1,149.0,36.0,1,8,4,2.0,0,0,1.0,0,2,58.0,73.0,0
1,220.0,123.0,2,11,8,118.0,1,1,8.0,1,2,102.0,6.0,0
1,13.0,4.0,1,8,4,2.0,0,0,1.0,0,2,45.0,132.0,0
1,292.0,62.0,2,1,1,8.0,0,0,1.0,0,2,69.0,4.0,0
1,75.0,7.0,2,7,4,3.0,0,0,1.0,0,1,1.0,1.0,0
0,197.0,40.0,1,3,8,14.0,0,0,1.0,1,2,53.0,1.0,0
1,266.0,164.0,1,2,4,37.0,1,0,1.0,0,1,1.0,1.0,0
1,331.0,70.0,2,9,4,43.0,1,1,6.0,1,2,18.0,39.0,1
1,101.0,13.0,2,7,4,7.0,1,1,4.0,0,2,92.0,234.0,1
0,250.0,34.0,2,6,4,18.0,0,0,1.0,0,2,86.0,84.0,0
1,294.0,204.0,2,1,1,1.0,1,1,2.0,0,2,29.0,1.0,0
0,187.0,48.0,1,1,1,1.0,1,0,1.0,0,2,107.0,1.0,0
1,35.0,87.0,1,3,4,26.0,0,0,1.0,1,2,117.0,150.0,0
0,90.0,64.0,1,8,4,1.0,0,0,1.0,0,2,38.0,1.0,0
1,80.0,46.0,2,8,8,35.0,1,0,1.0,0,2,137.0,77.0,1
1,344.0,139.0,2,1,1,76.0,0,1,2.0,0,2,20.0,7.0,0
1,281.0,11.0,2,8,5,126.0,1,1,20.0,0,2,1.0,233.0,1
0,182.0,66.0,1,8,4,58.0,0,0,1.0,1,2,1.0,3.0,0
1,263.0,73.0,2,11,8,96.0,1,1,12.0,0,2,24.0,1.0,1
1,76.0,21.0,1,6,4,4.0,1,0,1.0,0,2,63.0,2.0,0
1,196.0,66.0,2,13,5,14.0,0,0,1.0,0,2,112.0,1.0,0
1,320.0,203.0,2,2,5,126.0,1,1,18.0,1,2,1.0,1.0,1
0,265.0,121.0,2,11,4,102.0,1,1,4.0,1,2,1.0,1.0,1
0,267.0,1.0,2,8,4,58.0,1,0,1.0,0,2,1.0,1.0,1
1,191.0,52.0,2,9,5,7.0,1,0,1.0,1,2,54.0,1.0,0
0,269.0,96.0,2,4,8,26.0,0,0,1.0,1,1,86.0,1.0,0
1,154.0,69.0,1,7,4,4.0,0,0,1.0,1,1,24.0,1.0,0
1,124.0,26.0,2,11,8,5.0,0,0,1.0,1,2,77.0,88.0,0
1,37.0,126.0,2,7,4,2.0,0,1,2.0,0,2,32.0,2.0,0
0,247.0,33.0,2,3,5,52.0,1,0,1.0,1,2,1.0,94.0,1
0,82.0,46.0,2,9,4,24.0,0,0,1.0,1,2,53.0,1.0,0
1,165.0,28.0,2,14,4,33.0,1,1,9.0,1,2,103.0,203.0,1
0,20.0,164.0,2,14,8,26.0,1,1,12.0,0,2,1.0,200.0,1
0,181.0,61.0,1,13,4,73.0,0,0,1.0,1,2,69.0,63.0,0
0,307.0,123.0,2,6,8,65.0,0,0,1.0,0,2,1.0,1.0,0
0,100.0,37.0,2,11,4,32.0,1,1,3.0,0,2,69.0,1.0,0
1,242.0,46.0,2,3,5,1.0,0,0,1.0,0,1,102.0,1.0,0
1,85.0,20.0,1,13,8,4.0,0,0,1.0,0,2,86.0,2.0,0
1,317.0,180.0,2,4,8,108.0,1,0,1.0,1,2,6.0,182.0,1
0,133.0,74.0,1,14,8,59.0,1,1,2.0,0,2,20.0,1.0,1
1,170.0,87.0,2,7,4,58.0,1,0,1.0,1,2,117.0,1.0,1
1,54.0,30.0,1,8,8,7.0,0,0,1.0,0,2,98.0,78.0,0
1,190.0,140.0,2,8,4,81.0,1,1,13.0,1,2,1.0,80.0,1
1,263.0,213.0,2,11,8,6.0,1,1,2.0,0,2,166.0,47.0,0
0,222.0,115.0,2,4,4,26.0,1,0,1.0,1,2,1.0,1.0,1
1,217.0,56.0,2,9,4,2.0,1,0,1.0,1,2,131.0,219.0,1
1,145.0,56.0,1,14,8,2.0,0,0,1.0,0,2,40.0,2.0,0
1,216.0,68.0,2,13,4,5.0,0,0,1.0,1,2,1.0,116.0,0
1,161.0,205.0,2,8,4,101.0,1,1,17.0,0,2,1.0,213.0,1
1,206.0,67.0,2,1,1,1.0,0,0,1.0,0,2,1.0,150.0,0
1,48.0,64.0,2,8,4,47.0,1,1,12.0,1,2,69.0,200.0,1
1,277.0,113.0,2,9,4,93.0,0,0,1.0,0,2,147.0,66.0,0
1,64.0,131.0,1,3,5,5.0,0,0,1.0,1,2,65.0,1.0,0
1,48.0,151.0,1,8,4,58.0,1,0,1.0,0,1,11.0,1.0,1
1,198.0,66.0,2,9,4,1.0,1,0,1.0,1,2,85.0,77.0,1
1,86.0,30.0,2,7,4,3.0,0,1,5.0,0,2,90.0,179.0,0
1,216.0,119.0,2,7,8,78.0,1,1,13.0,1,2,28.0,1.0,1
0,50.0,145.0,2,3,4,2.0,0,0,1.0,0,2,69.0,150.0,0
1,213.0,78.0,2,11,8,113.0,1,0,1.0,1,2,33.0,127.0,1
1,71.0,152.0,2,14,4,2.0,1,1,10.0,0,2,18.0,108.0,1
0,117.0,187.0,2,11,8,85.0,1,1,3.0,0,2,1.0,213.0,1
0,275.0,16.0,2,13,8,11.0,1,1,12.0,1,2,141.0,7.0,1
0,304.0,1.0,1,1,1,1.0,0,0,1.0,0,2,1.0,1.0,0
1,231.0,66.0,1,3,8,115.0,0,0,1.0,1,1,69.0,1.0,0
1,231.0,49.0,2,8,4,37.0,1,1,11.0,0,2,66.0,212.0,1
0,124.0,56.0,2,9,4,7.0,0,0,1.0,1,2,63.0,36.0,0
1,35.0,144.0,2,9,4,37.0,1,0,1.0,0,2,38.0,189.0,1
1,235.0,92.0,2,8,5,99.0,1,1,17.0,0,2,37.0,160.0,1
1,210.0,26.0,1,2,4,16.0,0,0,1.0,0,2,86.0,4.0,0
1,109.0,10.0,2,3,5,1.0,1,0,1.0,1,2,1.0,1.0,1
1,234.0,51.0,1,7,4,5.0,0,0,1.0,0,1,131.0,1.0,0
1,252.0,15.0,2,8,8,6.0,1,1,7.0,0,2,77.0,147.0,1
1,56.0,127.0,2,6,4,35.0,1,1,2.0,0,2,24.0,227.0,1
0,43.0,40.0,2,8,4,1.0,0,0,1.0,0,2,1.0,1.0,0
0,123.0,73.0,2,7,4,64.0,0,1,2.0,1,2,98.0,11.0,0
1,59.0,27.0,1,13,4,18.0,0,0,1.0,0,2,53.0,1.0,0
1,130.0,105.0,2,14,4,84.0,1,1,3.0,0,2,136.0,8.0,1
1,117.0,61.0,2,3,5,14.0,0,0,1.0,1,2,162.0,206.0,0
0,27.0,141.0,2,11,4,30.0,1,1,5.0,0,2,18.0,118.0,1
0,79.0,114.0,2,11,4,70.0,1,1,11.0,0,2,38.0,85.0,1
1,83.0,53.0,2,8,4,15.0,0,0,1.0,1,2,44.0,2.0,0
1,131.0,102.0,2,9,4,117.0,1,0,1.0,1,2,20.0,1.0,1
1,103.0,60.0,1,6,4,76.0,1,0,1.0,0,2,67.0,1.0,0
0,134.0,50.0,2,11,4,56.0,1,0,1.0,1,2,141.0,1.0,0
1,75.0,77.0,1,8,4,5.0,0,0,1.0,0,2,53.0,152.0,0
0,90.0,34.0,1,1,1,14.0,1,1,4.0,0,2,63.0,65.0,0
1,92.0,18.0,2,7,4,26.0,0,0,1.0,1,2,38.0,2.0,0
1,169.0,52.0,1,10,8,2.0,1,0,1.0,1,2,127.0,1.0,1
1,284.0,85.0,2,3,5,26.0,0,0,1.0,0,2,32.0,3.0,0
0,132.0,82.0,2,9,4,23.0,1,0,1.0,0,1,98.0,1.0,1
1,100.0,18.0,2,9,4,5.0,0,1,2.0,0,2,95.0,110.0,0
1,29.0,157.0,2,1,1,11.0,0,0,1.0,0,2,24.0,1.0,0
1,60.0,38.0,1,4,4,58.0,1,1,2.0,0,2,63.0,21.0,0
1,91.0,40.0,2,8,4,7.0,0,0,1.0,0,2,35.0,1.0,0
1,10.0,89.0,2,3,8,11.0,0,0,1.0,1,2,38.0,1.0,0
1,115.0,55.0,2,2,4,20.0,0,0,1.0,1,2,24.0,1.0,0
1,285.0,82.0,2,6,4,73.0,1,0,1.0,0,1,82.0,1.0,1
1,82.0,70.0,2,1,1,81.0,0,0,1.0,0,2,53.0,25.0,0
0,245.0,56.0,1,11,8,4.0,1,1,21.0,1,2,145.0,162.0,1
1,200.0,212.0,2,14,8,40.0,1,1,2.0,1,2,154.0,115.0,1
1,84.0,175.0,2,8,4,49.0,0,0,1.0,0,1,24.0,1.0,0
1,30.0,102.0,2,11,4,10.0,1,1,3.0,0,2,1.0,31.0,0
1,151.0,17.0,2,2,8,3.0,0,0,1.0,1,1,88.0,1.0,0
0,41.0,26.0,2,8,4,22.0,1,1,6.0,1,2,45.0,6.0,0
1,109.0,29.0,2,13,4,29.0,0,0,1.0,0,2,32.0,1.0,0
1,136.0,46.0,1,8,4,37.0,1,0,1.0,1,2,1.0,81.0,0
1,135.0,142.0,2,11,8,94.0,1,1,7.0,0,2,125.0,71.0,1
1,107.0,33.0,2,11,4,43.0,1,0,1.0,1,2,98.0,1.0,1
1,82.0,77.0,1,4,4,11.0,0,1,2.0,1,2,98.0,45.0,0
1,111.0,185.0,2,10,2,1.0,0,0,1.0,1,2,45.0,156.0,0
1,311.0,122.0,2,8,8,61.0,1,1,12.0,1,2,1.0,92.0,1
1,163.0,13.0,2,2,4,24.0,1,0,1.0,1,1,168.0,1.0,0
0,98.0,180.0,2,2,4,26.0,0,0,1.0,1,2,63.0,153.0,0
1,181.0,77.0,1,14,4,69.0,1,1,4.0,1,2,124.0,1.0,1
1,235.0,49.0,2,8,4,37.0,0,0,1.0,0,2,1.0,96.0,0
0,19.0,1.0,1,5,1,1.0,0,0,1.0,0,2,25.0,1.0,0
1,85.0,22.0,2,8,4,5.0,0,0,1.0,0,2,32.0,1.0,1
1,114.0,69.0,1,13,4,90.0,1,1,2.0,0,2,74.0,1.0,1
0,70.0,14.0,2,3,4,9.0,0,0,1.0,1,1,47.0,1.0,0
1,238.0,18.0,1,6,4,14.0,1,1,4.0,0,2,69.0,150.0,1
